date,quart,month,day,top10gross,top10grossM,num1gross,num1grossM,num_releases,num1,pct_ch_day,pct_ch_wk
2021-12-31,4,Dec,Fri,27601787,27.6,15407695,15.41,25,Spider-Man: No Way Home,846.9,-17.4
2021-12-30,4,Dec,Thu,35021475,35.02,20717908,20.72,26,Spider-Man: No Way Home,2.7,-22.2
2021-12-29,4,Dec,Wed,34092399,34.09,20327774,20.33,26,Spider-Man: No Way Home,-5.6,-27.8
2021-12-28,4,Dec,Tue,36104760,36.1,21346817,21.35,25,Spider-Man: No Way Home,-7.9,1.4
2021-12-27,4,Dec,Mon,39209841,39.21,24770593,24.77,25,Spider-Man: No Way Home,-25.9,-4.1
2021-12-26,4,Dec,Sun,52943454,52.94,33283250,33.28,27,Spider-Man: No Way Home,-6.3,-25
2021-12-25,4,Dec,Sat,56478703,56.48,31609749,31.61,26,Spider-Man: No Way Home,81.7,-31.2
2021-12-24,4,Dec,Fri,31087749,31.09,19655506,19.66,24,Spider-Man: No Way Home,-30.9,-75.7
2021-12-23,4,Dec,Thu,45018844,45.02,29333622,29.33,28,Spider-Man: No Way Home,-4.7,1609.3
2021-12-22,4,Dec,Wed,47249638,47.25,27846311,27.85,29,Spider-Man: No Way Home,32.7,1217.3
2021-12-21,4,Dec,Tue,35610501,35.61,31408657,31.41,26,Spider-Man: No Way Home,-12.9,694.4
2021-12-20,4,Dec,Mon,40865953,40.87,37138318,37.14,28,Spider-Man: No Way Home,-42.1,1063.5
2021-12-19,4,Dec,Sun,70605790,70.61,64232578,64.23,30,Spider-Man: No Way Home,-13.9,507.7
2021-12-18,4,Dec,Sat,82033791,82.03,73941279,73.94,30,Spider-Man: No Way Home,-35.9,373.7
2021-12-17,4,Dec,Fri,128026878,128.03,121964712,121.96,30,Spider-Man: No Way Home,4761,982.5
2021-12-16,4,Dec,Thu,2633738,2.63,734586,0.73,33,Encanto,-26.6,-32.8
2021-12-15,4,Dec,Wed,3586725,3.59,968259,0.97,33,West Side Story,-20,-12.8
2021-12-14,4,Dec,Tue,4482456,4.48,1303008,1.3,34,West Side Story,27.6,-10.6
2021-12-13,4,Dec,Mon,3512281,3.51,1015089,1.02,34,West Side Story,-69.8,-11.8
2021-12-12,4,Dec,Sun,11619341,11.62,3190574,3.19,35,Encanto,-32.9,-18.9
2021-12-11,4,Dec,Sat,17318645,17.32,4514674,4.51,35,Encanto,46.4,-15.9
2021-12-10,4,Dec,Fri,11827462,11.83,4133219,4.13,35,West Side Story,201.8,-6
2021-12-09,4,Dec,Thu,3918876,3.92,808467,0.81,34,Encanto,-4.8,-41.4
2021-12-08,4,Dec,Wed,4115450,4.12,840976,0.84,34,Encanto,-17.9,-43.2
2021-12-07,4,Dec,Tue,5014047,5.01,1115755,1.12,34,Encanto,25.9,-21.2
2021-12-06,4,Dec,Mon,3983231,3.98,786598,0.79,34,Encanto,-72.2,-21.8
2021-12-05,4,Dec,Sun,14319631,14.32,4261705,4.26,35,Encanto,-30.5,-31.3
2021-12-04,4,Dec,Sat,20594785,20.59,5816182,5.82,35,Encanto,63.6,-40.9
2021-12-03,4,Dec,Fri,12585904,12.59,3069731,3.07,35,Encanto,88.1,-66
2021-12-02,4,Dec,Thu,6692578,6.69,2200000,2.2,31,Christmas with the Chosen: The Messengers,-7.6,-66.2
2021-12-01,4,Dec,Wed,7242975,7.24,2700000,2.7,32,Christmas with the Chosen: The Messengers,13.9,-70.7
2021-11-30,4,Nov,Tue,6360147,6.36,1487659,1.49,31,House of Gucci,24.9,-36.4
2021-11-29,4,Nov,Mon,5090601,5.09,1184398,1.18,31,Encanto,-75.6,-41.6
2021-11-28,4,Nov,Sun,20849510,20.85,6350371,6.35,34,Encanto,-40.2,-2.1
